Date,Close,High,Low,Open,Volume,DailySentiment,Symbol
2022-06-01,2751.37451171875,2835.675953834544,2731.649542596861,2758.2709390876794,1770795.0,0.0,ASIANPAINT
2022-06-02,2805.43798828125,2815.517474451713,2747.034521150558,2768.447453818043,1164197.0,-0.19999999999999996,ASIANPAINT
2022-06-03,2784.5546875,2815.950785081743,2754.750236072804,2802.013107770132,1228489.0,-0.15999999999999998,ASIANPAINT
2022-06-06,2717.56689453125,2770.183057856073,2708.1625474511325,2769.3150584736286,1193698.0,-0.06133333333333332,ASIANPAINT
2022-06-07,2647.39599609375,2704.5937643848574,2634.181729862712,2700.735570712411,1403598.0,-0.2490666666666666,ASIANPAINT
2022-06-08,2609.296630859375,2676.622165211152,2604.28102561085,2673.631970580147,1743575.0,-0.26591999999999993,ASIANPAINT
2022-06-09,2606.4833984375,2616.9606008571964,2555.019177414757,2599.886623814542,1857501.0,-0.21273599999999995,ASIANPAINT
2022-06-10,2627.777099609375,2654.212512978773,2572.7235323171435,2585.334922181444,1592920.0,-0.27018879999999995,ASIANPAINT
2022-06-13,2581.2119140625,2602.796792419313,2563.507463275452,2590.136850104457,1674206.0,-0.21615103999999996,ASIANPAINT
2022-06-14,2556.61962890625,2586.644626928011,2507.7263358950468,2538.769756687558,2296040.0,-0.17292083199999997,ASIANPAINT
2022-06-15,2581.60009765625,2603.3791888529195,2548.5681444284337,2570.783499555508,928842.0,-0.1383366656,ASIANPAINT
2022-06-16,2578.010986328125,2643.9782671015623,2561.082665321686,2614.390001460535,1280628.0,0.08933066751999996,ASIANPAINT
2022-06-17,2503.06982421875,2577.5740829421475,2483.4737118298444,2570.8804399402347,2043251.0,-0.06186879931733333,ASIANPAINT
2022-06-20,2581.163330078125,2593.4353242243287,2510.9762393658466,2522.277889788862,1595360.0,-0.18282837278719996,ASIANPAINT
2022-06-21,2598.2861328125,2628.9899240893005,2561.0824352751856,2594.987626964585,1042074.0,-0.04626269822976001,ASIANPAINT
2022-06-22,2586.64501953125,2627.001330581328,2547.840737650863,2607.647742361993,1871760.0,0.09632317474952529,ASIANPAINT
2022-06-23,2675.7490234375,2685.207566487445,2594.987617395661,2594.987617395661,1612872.0,0.2770585397996202,ASIANPAINT
2022-06-24,2678.3681640625,2701.5538621045907,2644.51152649044,2692.0467666951463,2215583.0,0.22164683183969616,ASIANPAINT
2022-06-27,2736.623291015625,2743.1229605393623,2682.345851798905,2696.800351344644,1295734.0,0.17731746547175695,ASIANPAINT
2022-06-28,2644.996826171875,2701.554113579194,2623.460497402104,2696.89755245106,1838358.0,0.14185397237740557,ASIANPAINT
2022-06-29,2617.154541015625,2637.7207607037312,2597.9463763018,2625.594423995825,1066354.0,0.11348317790192447,ASIANPAINT
2022-06-30,2614.632080078125,2645.432974277602,2599.886502507034,2633.694822845667,1291447.0,-0.10921345767846037,ASIANPAINT
2022-07-01,2690.251953125,2696.8972803693905,2604.7371215078465,2624.042154784996,1477191.0,-0.0873707661427683,ASIANPAINT
2022-07-04,2706.88916015625,2714.358935447848,2662.749298982956,2692.191899440307,653147.0,-0.06989661291421465,ASIANPAINT
2022-07-05,2683.898193359375,2728.2320370871744,2677.4953922495897,2701.7480679040245,1073043.0,0.14408270966862824,ASIANPAINT
2022-07-06,2775.8642578125,2783.2371662349083,2721.2957354699715,2745.936596997725,2085735.0,0.1152661677349026,ASIANPAINT
2022-07-07,2804.967041015625,2844.3534765258028,2790.8036221534367,2814.6681101715794,1469087.0,0.09221293418792209,ASIANPAINT
2022-07-08,2793.714111328125,2801.668941147088,2755.588859878221,2793.908085354437,1274148.0,0.07377034735033768,ASIANPAINT
2022-07-11,2845.3720703125,2852.6478720111004,2766.114384510913,2788.087210903685,1081885.0,-0.007650388786396511,ASIANPAINT
2022-07-12,2806.71337890625,2835.8651401070347,2799.146497331697,2832.7122925211806,1115524.0,-0.20612031102911715,ASIANPAINT
2022-07-13,2853.278564453125,2880.199032791915,2838.581538637605,2860.8454461655056,2153712.0,-0.16489624882329373,ASIANPAINT
2022-07-14,2851.2900390625,2866.520909209739,2825.3396754950954,2863.8531148243046,882479.0,-0.26525033239196827,ASIANPAINT
2022-07-15,2889.123779296875,2895.769106321416,2852.550796411333,2861.766811992591,1668006.0,-0.31220026591357464,ASIANPAINT
2022-07-18,2927.637451171875,2934.573621358075,2899.067611070088,2905.2278851444944,823390.0,-0.18309354606419306,ASIANPAINT
